"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","opposite","97.5%","var",2,"jaccard",0.00116920878159433,0.00537942563208287
"0.25","0.25","many2many","opposite","mean","var",2,"jaccard",0.000506975394088083,0.00178546828649169
"0.25","0.25","many2many","opposite","var","var",2,"jaccard",1.10403964436166e-07,2.42874305959196e-06
"0.25","0.25","many2many","opposite","2.5%","mean",2,"N",-0.710824682252616,-0.710824682252616
"0.25","0.25","many2many","opposite","50%","mean",2,"N",8.61711204601012e-05,8.61711204601012e-05
"0.25","0.25","many2many","opposite","97.5%","mean",2,"N",0.514409596173401,0.514409596173401
"0.25","0.25","many2many","opposite","mean","mean",2,"N",-0.0337882401461392,-0.0337882401461392
"0.25","0.25","many2many","opposite","var","mean",2,"N",0.118501620891689,0.118501620891689
"0.25","0.25","many2many","opposite","2.5%","var",2,"N",8.1011299837996e-05,8.1011299837996e-05
"0.25","0.25","many2many","opposite","50%","var",2,"N",0.0148291604842372,0.0148291604842372
"0.25","0.25","many2many","opposite","97.5%","var",2,"N",0.101424023316418,0.101424023316418
"0.25","0.25","many2many","opposite","mean","var",2,"N",0.0236670657505991,0.0236670657505991
"0.25","0.25","many2many","opposite","var","var",2,"N",0.000813104165811841,0.000813104165811841
"0.25","0.25","many2many","opposite","2.5%","mean",2,"rda",0.0892170386199103,0.0298898775674151
"0.25","0.25","many2many","opposite","50%","mean",2,"rda",0.202637191592065,0.0669615150625186
"0.25","0.25","many2many","opposite","97.5%","mean",2,"rda",0.376791199476879,0.188141527552427
"0.25","0.25","many2many","opposite","mean","mean",2,"rda",0.20864387548159,0.0775670907991634
"0.25","0.25","many2many","opposite","var","mean",2,"rda",0.00536360749654937,0.00175080040751801
"0.25","0.25","many2many","opposite","2.5%","var",2,"rda",3.93103920428073e-05,1.49862201824717e-05
"0.25","0.25","many2many","opposite","50%","var",2,"rda",0.000218936686588776,0.000203485788008254
"0.25","0.25","many2many","opposite","97.5%","var",2,"rda",0.000833537399408767,0.000838663645473349
"0.25","0.25","many2many","opposite","mean","var",2,"rda",0.000283993716413446,0.000253285474332792
"0.25","0.25","many2many","opposite","var","var",2,"rda",5.32591356367007e-08,4.50709551517079e-08
"0.25","0.25","many2many","opposite","2.5%","mean",2,"S",-0.71406296123228,-0.640284015845452
"0.25","0.25","many2many","opposite","50%","mean",2,"S",0.0162864666549309,-0.0027864226907189
"0.25","0.25","many2many","opposite","97.5%","mean",2,"S",0.53682306536777,0.373626785994011
"0.25","0.25","many2many","opposite","mean","mean",2,"S",-0.0244780682009777,-0.024996631202029
"0.25","0.25","many2many","opposite","var","mean",2,"S",0.0970028533715611,0.081243155731518
"0.25","0.25","many2many","opposite","2.5%","var",2,"S",0.000132848823750539,0.000377487761912779
"0.25","0.25","many2many","opposite","50%","var",2,"S",0.000867322246626741,0.00151152806465032
"0.25","0.25","many2many","opposite","97.5%","var",2,"S",0.00323314224512658,0.00575580525852481
"0.25","0.25","many2many","opposite","mean","var",2,"S",0.0010647175248292,0.00198131823441023
"0.25","0.25","many2many","opposite","var","var",2,"S",5.99356204119731e-07,2.46801233684607e-06
"0.25","0.25","many2many","same","2.5%","mean",1,"jaccard",-0.136441526374693,-0.14326456150772
"0.25","0.25","many2many","same","50%","mean",1,"jaccard",-0.00177290733005625,0.00416320424335859
"0.25","0.25","many2many","same","97.5%","mean",1,"jaccard",0.207157395904799,0.23379722057361
"0.25","0.25","many2many","same","mean","mean",1,"jaccard",0.00462588216284825,0.00496011841420911
"0.25","0.25","many2many","same","var","mean",1,"jaccard",0.00877286112703873,0.010866855509762
"0.25","0.25","many2many","same","2.5%","var",1,"jaccard",8.5009510664572e-05,0.000104507265667579
"0.25","0.25","many2many","same","50%","var",1,"jaccard",0.000380634812511062,0.000436473706329192
"0.25","0.25","many2many","same","97.5%","var",1,"jaccard",0.00122542288321194,0.00170901481353739
"0.25","0.25","many2many","same","mean","var",1,"jaccard",0.000483337359556325,0.00056714289312115
"0.25","0.25","many2many","same","var","var",1,"jaccard",1.36278558962395e-07,2.19502557726549e-07
"0.25","0.25","many2many","same","2.5%","mean",1,"N",-0.377024870413508,-0.377024870413508
"0.25","0.25","many2many","same","50%","mean",1,"N",0.0189423909108365,0.0189423909108365
"0.25","0.25","many2many","same","97.5%","mean",1,"N",0.371316309799385,0.371316309799385
"0.25","0.25","many2many","same","mean","mean",1,"N",-0.00662316750395608,-0.00662316750395608
"0.25","0.25","many2many","same","var","mean",1,"N",0.0439530849456826,0.0439530849456826
"0.25","0.25","many2many","same","2.5%","var",1,"N",7.93234373476809e-05,7.93234373476809e-05
"0.25","0.25","many2many","same","50%","var",1,"N",0.00108249213112275,0.00108249213112275
"0.25","0.25","many2many","same","97.5%","var",1,"N",0.0624565102399698,0.0624565102399698
"0.25","0.25","many2many","same","mean","var",1,"N",0.00772478253083054,0.00772478253083054
"0.25","0.25","many2many","same","var","var",1,"N",0.000257690191586708,0.000257690191586708
"0.25","0.25","many2many","same","2.5%","mean",1,"rda",0.017941259357882,0.0144215579092519
"0.25","0.25","many2many","same","50%","mean",1,"rda",0.0423955467262602,0.0394508019605768
"0.25","0.25","many2many","same","97.5%","mean",1,"rda",0.11677243138865,0.126692419000944
"0.25","0.25","many2many","same","mean","mean",1,"rda",0.0507402235841523,0.0508179167236009
"0.25","0.25","many2many","same","var","mean",1,"rda",0.000668905921077148,0.00110969364775433
"0.25","0.25","many2many","same","2.5%","var",1,"rda",9.08706887406864e-06,6.6593938330516e-06
"0.25","0.25","many2many","same","50%","var",1,"rda",3.8006665116704e-05,8.28214569920913e-05
"0.25","0.25","many2many","same","97.5%","var",1,"rda",0.000200669718970752,0.000315881908280981
"0.25","0.25","many2many","same","mean","var",1,"rda",5.71254749583691e-05,0.000101354367286037
"0.25","0.25","many2many","same","var","var",1,"rda",3.63093207981197e-09,6.9852836408617e-09
"0.25","0.25","many2many","same","2.5%","mean",1,"S",-0.348759236416951,-0.336259806607999
"0.25","0.25","many2many","same","50%","mean",1,"S",0.0207073043223056,-0.0107422385146186
"0.25","0.25","many2many","same","97.5%","mean",1,"S",0.444335619571277,0.439640995843099
"0.25","0.25","many2many","same","mean","mean",1,"S",0.00324196936540469,0.00254397910229249
"0.25","0.25","many2many","same","var","mean",1,"S",0.0514561463356135,0.0482270868269636
"0.25","0.25","many2many","same","2.5%","var",1,"S",0.000357064062835813,0.000404052523064187
"0.25","0.25","many2many","same","50%","var",1,"S",0.00118178509106248,0.00126501552739056
"0.25","0.25","many2many","same","97.5%","var",1,"S",0.00367211107563635,0.00637772878089028
"0.25","0.25","many2many","same","mean","var",1,"S",0.00133456287620244,0.00161980018183869
"0.25","0.25","many2many","same","var","var",1,"S",7.5939455268503e-07,2.40253496328327e-06
"0.25","0.25","many2many","same","2.5%","mean",2,"jaccard",0.784031077216525,0.781891533870942
"0.25","0.25","many2many","same","50%","mean",2,"jaccard",0.848336727562948,0.838854112207289
"0.25","0.25","many2many","same","97.5%","mean",2,"jaccard",0.924129930246245,0.913501610172585
"0.25","0.25","many2many","same","mean","mean",2,"jaccard",0.848230934290961,0.844108048903101
"0.25","0.25","many2many","same","var","mean",2,"jaccard",0.00185443934629713,0.00155626861770697
"0.25","0.25","many2many","same","2.5%","var",2,"jaccard",2.48723468411515e-05,4.72083142175255e-05
"0.25","0.25","many2many","same","50%","var",2,"jaccard",0.00012987709916611,0.000216872772636282
"0.25","0.25","many2many","same","97.5%","var",2,"jaccard",0.000768509730880906,0.000895967073604146
"0.25","0.25","many2many","same","mean","var",2,"jaccard",0.000184188631037759,0.000296906668815568
"0.25","0.25","many2many","same","var","var",2,"jaccard",3.642307201781e-08,6.15178516891938e-08
"0.25","0.25","many2many","same","2.5%","mean",2,"N",-0.697430017478966,-0.697430017478966
"0.25","0.25","many2many","same","50%","mean",2,"N",-0.081542914818836,-0.081542914818836
"0.25","0.25","many2many","same","97.5%","mean",2,"N",0.686418740882215,0.686418740882215
"0.25","0.25","many2many","same","mean","mean",2,"N",-0.031321051726362,-0.031321051726362
"0.25","0.25","many2many","same","var","mean",2,"N",0.165427612107613,0.165427612107613
"0.25","0.25","many2many","same","2.5%","var",2,"N",4.44135954294533e-05,4.44135954294533e-05
"0.25","0.25","many2many","same","50%","var",2,"N",0.00244950249925876,0.00244950249925876
"0.25","0.25","many2many","same","97.5%","var",2,"N",0.0673708080767735,0.0673708080767735
"0.25","0.25","many2many","same","mean","var",2,"N",0.0158487484995626,0.0158487484995626
"0.25","0.25","many2many","same","var","var",2,"N",0.000494775959054792,0.000494775959054792
"0.25","0.25","many2many","same","2.5%","mean",2,"rda",0.112691295619556,0.0947740638324499
"0.25","0.25","many2many","same","50%","mean",2,"rda",0.234636499656402,0.272584821276065
"0.25","0.25","many2many","same","97.5%","mean",2,"rda",0.416735392603996,0.547171969246007
"0.25","0.25","many2many","same","mean","mean",2,"rda",0.245241960092165,0.281416193936883
"0.25","0.25","many2many","same","var","mean",2,"rda",0.0083216785585439,0.0138117896388367
