"o","mra","mrb","stat","summary","env","measure","cor_a","cor_b"
"0.1","10","1","var","mean",2,"rda",0.0041518162129701,0.00475550180207466
"0.1","10","1","var","mean",2,"S",0.154036677189945,0.0666996221988862
"0.1","10","1","var","var",1,"jaccard",1.00914945228569e-06,4.40383370582538e-06
"0.1","10","1","var","var",1,"N",0.000487940820567446,0.000487940820567446
"0.1","10","1","var","var",1,"rda",9.63866504228867e-09,6.43885454516228e-07
"0.1","10","1","var","var",1,"S",6.24127792707571e-06,1.41602405054032e-05
"0.1","10","1","var","var",2,"jaccard",2.36698653085438e-07,4.34888498413886e-06
"0.1","10","1","var","var",2,"N",0.000599207683085624,0.000599207683085624
"0.1","10","1","var","var",2,"rda",1.16001761049325e-07,4.76112691111984e-07
"0.1","10","1","var","var",2,"S",3.67014487327514e-06,9.51407868131598e-06
"0.1","10","10","2.5%","mean",1,"jaccard",-0.178593743118118,0.189822637981972
"0.1","10","10","2.5%","mean",1,"N",-0.124240419756326,-0.124240419756326
"0.1","10","10","2.5%","mean",1,"rda",0.0216334811995251,0.132248564662741
"0.1","10","10","2.5%","mean",1,"S",-0.415047355178843,-0.815909240422524
"0.1","10","10","2.5%","mean",2,"jaccard",0.814496334458912,-0.0758601811407862
"0.1","10","10","2.5%","mean",2,"N",-0.174313214002025,-0.174313214002025
"0.1","10","10","2.5%","mean",2,"rda",0.253794290987534,0.036553062797385
"0.1","10","10","2.5%","mean",2,"S",-0.714262244377285,-0.532806288399659
"0.1","10","10","2.5%","var",1,"jaccard",0.000200964945270505,0.000236335816903801
"0.1","10","10","2.5%","var",1,"N",0.0137763664617253,0.0137763664617253
"0.1","10","10","2.5%","var",1,"rda",2.25677015550924e-05,0.000185326739470675
"0.1","10","10","2.5%","var",1,"S",0.000729684203325789,0.000500701686891277
"0.1","10","10","2.5%","var",2,"jaccard",4.80494183371483e-05,0.000717657104620127
"0.1","10","10","2.5%","var",2,"N",0.0228919210787233,0.0228919210787233
"0.1","10","10","2.5%","var",2,"rda",0.000114418982881201,0.000108927792481584
"0.1","10","10","2.5%","var",2,"S",0.000509448049379233,0.00148811638628729
"0.1","10","10","50%","mean",1,"jaccard",-0.038895727004636,0.661260401599542
"0.1","10","10","50%","mean",1,"N",-0.00497728093519116,-0.00497728093519116
"0.1","10","10","50%","mean",1,"rda",0.0416749016967432,0.304048046282747
"0.1","10","10","50%","mean",1,"S",-0.0381575201067935,0.0033255476922551
"0.1","10","10","50%","mean",2,"jaccard",0.901317811403081,0.222115677655463
"0.1","10","10","50%","mean",2,"N",-0.0135630943278815,-0.0135630943278815
"0.1","10","10","50%","mean",2,"rda",0.383874296491209,0.114317032798911
"0.1","10","10","50%","mean",2,"S",0.0212929540845246,0.0332728562334992
"0.1","10","10","50%","var",1,"jaccard",0.000799266764742052,0.00163847982637794
"0.1","10","10","50%","var",1,"N",0.0510371453639379,0.0510371453639379
"0.1","10","10","50%","var",1,"rda",7.738393205505e-05,0.00104683396455357
"0.1","10","10","50%","var",1,"S",0.0022561380549772,0.0043701751125556
"0.1","10","10","50%","var",2,"jaccard",0.000223433094154839,0.00233381445773112
"0.1","10","10","50%","var",2,"N",0.0513182739221737,0.0513182739221737
"0.1","10","10","50%","var",2,"rda",0.000560962720430563,0.000655477217925517
"0.1","10","10","50%","var",2,"S",0.0020036933384236,0.00458567568020719
"0.1","10","10","97.5%","mean",1,"jaccard",0.232691125958412,0.872200388702109
