"o","mra","mrb","stat","summary","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"0.2","20","1","97.5%","mean",1.55854980305235,25.004875,30,1.50452560808496,8.973875,10,0.826871828716211,95.539875,1910.7975
"0.2","20","1","97.5%","var",0.000718490197224468,0.156583333333334,0,0.00120119652650369,0.0332284722222222,0,0.0300272678329886,0.535527777777779,214.211111111111
"0.2","20","1","mean","mean",1.37635204709178,21.88595,29.999,1.26784947780167,7.9353,10,0.375453970447102,95.2341,1904.682
"0.2","20","1","mean","var",0.000310669729766841,0.0763275,0.001,0.000412607067364183,0.0148433333333333,0,0.00758382138025972,0.271991111111111,108.796444444444
"0.2","20","1","var","mean",0.0075581164053067,1.93981853282828,0.000100000000000003,0.0098110817602569,0.359949404040404,0,0.0608104565873579,0.0434648383838387,17.3859353535353
"0.2","20","1","var","var",2.7000618062603e-08,0.00142031570792805,1e-04,7.90858196546772e-08,5.68129679511161e-05,0,5.36033089705166e-05,0.290994587181693,46559.133949071
"0.2","20","10","2.5%","mean",1.23467454272658,19.982125,30,1.11681125342943,6.8375,10,-0.106568403857694,94.841,1896.82
"0.2","20","10","2.5%","var",9.89664278171799e-05,0.023657638888889,0,0.00010347285914225,0.00476874999999999,0,0.00113297285304096,0.0844472222222217,33.7788888888889
"0.2","20","10","50%","mean",1.36350373194369,22.005,30,1.2781854371352,7.825,10,0.416001580110789,95.2475,1904.95
"0.2","20","10","50%","var",0.000265458796604224,0.0716249999999998,0,0.000366119368554847,0.0147916666666667,0,0.00514671457692189,0.203680555555556,81.4722222222222
"0.2","20","10","97.5%","mean",1.50151026981431,24.301,30,1.46296284289013,8.9555,10,0.783627131082604,95.468125,1909.3625
"0.2","20","10","97.5%","var",0.00066415675603262,0.154422916666666,0,0.00103166471969375,0.0331222222222222,0,0.02123942541387,2.04423611111112,817.694444444444
"0.2","20","10","mean","mean",1.36506537508387,22.03705,29.999,1.27801670941818,7.87155,10,0.386091263195872,95.216,1904.32
"0.2","20","10","mean","var",0.000296430112947415,0.0754691666666666,0.001,0.000448746855001259,0.0157836111111111,0,0.00660938116206595,0.354227222222222,141.690888888889
"0.2","20","10","var","mean",0.00496751097087063,1.2818207550505,0.000100000000000003,0.00951773900364264,0.358805906565657,0,0.0577605288013807,0.0472722222222222,18.9088888888889
"0.2","20","10","var","var",3.075755023022e-08,0.00149354537496882,1e-04,7.77894546480488e-08,5.78371413985535e-05,0,3.98123311746039e-05,0.547657277456354,87625.1643930166
"0.2","20","20","2.5%","mean",1.24800570351902,19.32625,30,1.07880257586388,6.556875,10,-0.0937887069029374,94.95,1899
"0.2","20","20","2.5%","var",8.08410305961349e-05,0.0199416666666667,0,0.000113962686345174,0.00539722222222221,0,0.00171562516165377,0.0955277777777779,38.2111111111111
"0.2","20","20","50%","mean",1.3619718579498,22.03,30,1.25808161091141,7.95,10,0.387742633861356,95.2525,1905.05
"0.2","20","20","50%","var",0.000280663496203847,0.0676805555555555,0,0.000360170646905788,0.0139027777777778,0,0.00714780118642811,0.207458333333332,82.9833333333333
"0.2","20","20","97.5%","mean",1.55269102470092,24.0415,30,1.52539776269591,9.270625,10,0.769046962460605,95.508125,1910.1625
"0.2","20","20","97.5%","var",0.000651357995707327,0.138834027777777,0,0.00117742484922717,0.0372881944444445,0,0.0194248132411779,0.463475694444445,185.390277777778
"0.2","20","20","mean","mean",1.37812509997705,21.84495,30,1.27185872001138,7.9248,10,0.365627209456853,95.22145,1904.429
"0.2","20","20","mean","var",0.000303327176178657,0.0747291666666667,0,0.000449882272148424,0.0164172222222222,0,0.00773923761822055,0.276728055555556,110.691222222222
"0.2","20","20","var","mean",0.00656322388954755,1.5869199469697,0,0.0128854846029713,0.472726727272727,0,0.0511648219730809,0.146239542929293,58.4958171717172
"0.2","20","20","var","var",2.37070941228922e-08,0.00125612531760506,0,9.55274069538664e-08,8.96176733383216e-05,0,2.53372678209943e-05,0.307177823704561,49148.4517927298
"0.3","1","1","2.5%","mean",1.14590740713966,22.040375,30,1.08011899355884,6.812125,10,-0.0750752296014328,94.88875,1897.775
"0.3","1","1","2.5%","var",4.3689891688907e-05,0.0186645833333334,0,7.10529459582208e-05,0.00352500000000002,0,0.00131987679147159,0.0584861111111118,23.3944444444444
"0.3","1","1","50%","mean",1.20784056499707,24.84,30,1.24121948913101,8.0575,10,0.277161165333228,95.2225,1904.45
"0.3","1","1","50%","var",0.00013673419180725,0.052888888888889,0,0.000259836810661907,0.010625,0,0.00524325204413692,0.214347222222222,85.7388888888889
"0.3","1","1","97.5%","mean",1.36128552446793,26.1825,30,1.46841160613041,9.2605,10,0.855614061512154,95.5305,1910.61
