"o","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0","many2many","same","2.5%","mean",1,"rda",0.0254852557697591,0.00347317692908927
"0","many2many","same","50%","mean",1,"rda",0.0464887386784606,0.0377695867177213
"0","many2many","same","97.5%","mean",1,"rda",0.121780722874365,0.116194114899936
"0","many2many","same","mean","mean",1,"rda",0.0540839947164283,0.0451243061918841
"0","many2many","same","var","mean",1,"rda",0.000695928284393253,0.00125320090256218
"0","many2many","same","2.5%","var",1,"rda",3.40757953147208e-05,8.82949599460824e-06
"0","many2many","same","50%","var",1,"rda",9.95600580207644e-05,0.000426611461271644
"0","many2many","same","97.5%","var",1,"rda",0.000417410078051831,0.00470560316033124
"0","many2many","same","mean","var",1,"rda",0.000130731304106899,0.00101239281326311
"0","many2many","same","var","var",1,"rda",8.84790226050959e-09,1.67015182816119e-06
"0","many2many","same","2.5%","mean",1,"S",-0.455067994734361,-0.261659540425301
"0","many2many","same","50%","mean",1,"S",0.0303027045373978,0.0643699618903937
"0","many2many","same","97.5%","mean",1,"S",0.322463672014087,0.339298265099626
"0","many2many","same","mean","mean",1,"S",0.00554346916037721,0.0649466795865373
"0","many2many","same","var","mean",1,"S",0.0441494690751873,0.0269839408816634
"0","many2many","same","2.5%","var",1,"S",0.000893053484772666,0.000260921458553721
"0","many2many","same","50%","var",1,"S",0.00438857793178811,0.0114089358347553
"0","many2many","same","97.5%","var",1,"S",0.0113890169423843,0.0422278174636999
"0","many2many","same","mean","var",1,"S",0.00499227467698163,0.0147719484448526
"0","many2many","same","var","var",1,"S",9.48551886812599e-06,0.000260082809345162
"0","many2many","same","2.5%","mean",2,"jaccard",0.818847529350799,0.221022166916138
"0","many2many","same","50%","mean",2,"jaccard",0.883435825009153,0.489276337240832
"0","many2many","same","97.5%","mean",2,"jaccard",0.934671066805783,0.731218635832339
"0","many2many","same","mean","mean",2,"jaccard",0.879497937395388,0.483204615700204
"0","many2many","same","var","mean",2,"jaccard",0.00132535382119158,0.0232115958316941
"0","many2many","same","2.5%","var",2,"jaccard",6.20422138780811e-05,0.000344445457283026
"0","many2many","same","50%","var",2,"jaccard",0.000339918085252895,0.00571310981149434
"0","many2many","same","97.5%","var",2,"jaccard",0.00191547296822105,0.019664892406643
"0","many2many","same","mean","var",2,"jaccard",0.00051266349058591,0.00750004860943842
"0","many2many","same","var","var",2,"jaccard",3.90118294758175e-07,9.32020639554476e-05
"0","many2many","same","2.5%","mean",2,"N",-0.145111514995417,-0.145111514995417
"0","many2many","same","50%","mean",2,"N",0.010975622851442,0.010975622851442
"0","many2many","same","97.5%","mean",2,"N",0.164452065771314,0.164452065771314
"0","many2many","same","mean","mean",2,"N",0.00675045290519921,0.00675045290519921
"0","many2many","same","var","mean",2,"N",0.0107163933993733,0.0107163933993733
"0","many2many","same","2.5%","var",2,"N",0.0132048176510916,0.0132048176510916
"0","many2many","same","50%","var",2,"N",0.0488449985293711,0.0488449985293711
"0","many2many","same","97.5%","var",2,"N",0.100572386346629,0.100572386346629
"0","many2many","same","mean","var",2,"N",0.0504049385748421,0.0504049385748421
"0","many2many","same","var","var",2,"N",0.00053670631853544,0.00053670631853544
"0","many2many","same","2.5%","mean",2,"rda",0.219351033512992,0.0825854473663235
"0","many2many","same","50%","mean",2,"rda",0.334549652321432,0.27584162434965
"0","many2many","same","97.5%","mean",2,"rda",0.450687950091513,0.464233532279531
"0","many2many","same","mean","mean",2,"rda",0.343664968217632,0.283208503508462
"0","many2many","same","var","mean",2,"rda",0.00336782724714766,0.00899193656754469
"0","many2many","same","2.5%","var",2,"rda",0.000161942221798453,0.000536813184756161
"0","many2many","same","50%","var",2,"rda",0.000614727752076385,0.00403149312629787
"0","many2many","same","97.5%","var",2,"rda",0.00181965173619001,0.0212637750945288
"0","many2many","same","mean","var",2,"rda",0.000721783668550658,0.00647759498068494
"0","many2many","same","var","var",2,"rda",1.65031565193886e-07,5.56967399145546e-05
"0","many2many","same","2.5%","mean",2,"S",-0.733004935854568,-0.6678604216774
"0","many2many","same","50%","mean",2,"S",-0.0656550470723248,-0.0222110402937127
"0","many2many","same","97.5%","mean",2,"S",0.754232331759429,0.728957177752023
"0","many2many","same","mean","mean",2,"S",-0.0250216589696264,0.0238188761886363
"0","many2many","same","var","mean",2,"S",0.159829008540131,0.252797212791332
"0","many2many","same","2.5%","var",2,"S",0.000536270758038986,0.000404931912430391
"0","many2many","same","50%","var",2,"S",0.00266218215476741,0.0141030057657059
"0","many2many","same","97.5%","var",2,"S",0.00979869166929052,0.114198345559619
"0","many2many","same","mean","var",2,"S",0.00348981832051532,0.024177657224581
"0","many2many","same","var","var",2,"S",1.14509414822476e-05,0.0010623531909062
"0","one2many","all","2.5%","mean",1,"jaccard",0.329503013749631,0.0530164283577968
"0","one2many","all","50%","mean",1,"jaccard",0.585554054147979,0.393778317666868
"0","one2many","all","97.5%","mean",1,"jaccard",0.786643471053796,0.741521414850433
"0","one2many","all","mean","mean",1,"jaccard",0.574565433603731,0.398453011933005
"0","one2many","all","var","mean",1,"jaccard",0.0154904682181216,0.0342937722922529
"0","one2many","all","2.5%","var",1,"jaccard",0.000234958926799133,0.000481513657626577
"0","one2many","all","50%","var",1,"jaccard",0.000990692895717646,0.0024863597390737
"0","one2many","all","97.5%","var",1,"jaccard",0.0025327309127885,0.0148112374514294
"0","one2many","all","mean","var",1,"jaccard",0.00112326703981071,0.00390768840365107
"0","one2many","all","var","var",1,"jaccard",3.98442303798557e-07,1.94409943885983e-05
"0","one2many","all","2.5%","mean",1,"N",-0.408016751953729,-0.408016751953729
"0","one2many","all","50%","mean",1,"N",-0.0109792044323031,-0.0109792044323031
"0","one2many","all","97.5%","mean",1,"N",0.271424512591466,0.271424512591466
"0","one2many","all","mean","mean",1,"N",-0.0146658255721593,-0.0146658255721593
"0","one2many","all","var","mean",1,"N",0.0206432703999857,0.0206432703999857
"0","one2many","all","2.5%","var",1,"N",0.0119010050923708,0.0119010050923708
"0","one2many","all","50%","var",1,"N",0.0495301068952935,0.0495301068952935
"0","one2many","all","97.5%","var",1,"N",0.120741193191146,0.120741193191146
"0","one2many","all","mean","var",1,"N",0.0534014656844975,0.0534014656844975
"0","one2many","all","var","var",1,"N",0.000805286959719381,0.000805286959719381
"0","one2many","all","2.5%","mean",1,"rda",0.125514403650483,0.0647447555952916
"0","one2many","all","50%","mean",1,"rda",0.217726809579335,0.184116138733102
"0","one2many","all","97.5%","mean",1,"rda",0.324564436429309,0.322488617290609
"0","one2many","all","mean","mean",1,"rda",0.219787355521663,0.182956823352201
"0","one2many","all","var","mean",1,"rda",0.00274295127934482,0.00456713811050415
"0","one2many","all","2.5%","var",1,"rda",8.32921953580617e-05,0.000193902841007785
"0","one2many","all","50%","var",1,"rda",0.000285840139009581,0.000994134627612056
"0","one2many","all","97.5%","var",1,"rda",0.000689807363660601,0.00379559165979333
"0","one2many","all","mean","var",1,"rda",0.000318001440211347,0.00133280263476621
