"sigA","sigB","topo","envfilt","stat","summary","env","measure","cor_a","cor_b"
"0.25","0.25","many2many","same","mean","mean",1,"rda",0.0521418385365331,0.0522879750012811
"0.25","0.25","many2many","same","mean","mean",1,"S",-0.0325821245235316,-0.026389894935401
"0.25","0.25","many2many","same","mean","mean",2,"jaccard",0.86421588935065,0.815404872308173
"0.25","0.25","many2many","same","mean","mean",2,"N",0.0034545678995198,0.0034545678995198
"0.25","0.25","many2many","same","mean","mean",2,"rda",0.325082019933862,0.294075585081676
"0.25","0.25","many2many","same","mean","mean",2,"S",-0.0608863123436158,-0.0951155999953718
"0.25","0.25","many2many","same","mean","var",1,"jaccard",0.000346007337354413,0.000524219544588362
"0.25","0.25","many2many","same","mean","var",1,"N",0.0273757925438134,0.0273757925438134
"0.25","0.25","many2many","same","mean","var",1,"rda",5.45985606999513e-05,0.000110802952819743
"0.25","0.25","many2many","same","mean","var",1,"S",0.0015044078037247,0.00179624254926637
