"topo","envfilt","stat","summary","time","Beta_a","S_a","Stot_a","Beta_b","S_b","Stot_b","Cor_ab","N","Ntot"
"many2many","same","var","mean","T4000",0.0108009119350877,1.97069564393939,0.0166414141414141,0.00527652632944613,0.258152553030303,0,0.0123388551967027,4.79765808080808,1919.06323232323
"many2many","same","var","mean","T8000",0.00957155875802418,1.80225036363636,0.0131909090909091,0.00449674343431626,0.231666404040404,0,0.0141386935460543,3.66375227272727,1465.50090909091
"many2many","same","var","var","T1000",1.15847464241217e-07,0.00284758391445318,0.00370619778027185,2.23558420195191e-08,2.53188436058112e-05,0,6.29786352422732e-06,3.94512926547411,631220.682475857
"many2many","same","var","var","T2000",6.44522695984045e-08,0.00186615043926924,0.001556303778526,2.2917383302136e-08,3.0239813256017e-05,0,6.1685193984937e-06,2.66960196554933,427136.314487891
"many2many","same","var","var","T4000",6.93101622442854e-08,0.00161649978636675,0.000948484848484849,2.06881600474061e-08,3.23478908685622e-05,0,1.05350065653403e-05,2.30429339909122,368686.943854595
"many2many","same","var","var","T8000",6.58833494753233e-08,0.00162972681163487,0.00119060980172091,1.50584264997569e-08,2.76884153261005e-05,0,9.28550620599987e-06,2.86838696417883,458941.914268612
"one2many","all","2.5%","mean","T1000",1.87872426972684,8.799875,28.285,1.48340246048101,3.63575,9.4475,0.922452380055372,69.268875,1385.3775
"one2many","all","2.5%","mean","T2000",1.78421296954015,9.483,28.6,1.43308832402623,3.873125,9.5475,0.91081164405835,73.41525,1468.305
"one2many","all","2.5%","mean","T4000",1.73562672556676,10.022125,28.6475,1.39441688987505,4.03975,9.695,0.913380054878913,76.558375,1531.1675
"one2many","all","2.5%","mean","T8000",1.7061821173608,10.3365,28.9,1.37381273383367,4.171375,9.6,0.89377822046264,78.265125,1565.3025
"one2many","all","2.5%","var","T1000",0.000843316552359383,0.0242395833333333,0,0.000791469956733903,0.00799652777777779,0,1.2790874650931e-05,0.121919444444444,48.7677777777778
"one2many","all","2.5%","var","T2000",0.000652971968978225,0.0241923611111112,0,0.000462930127899619,0.00636944444444446,0,1.51161559388066e-05,0.0654722222222226,26.1888888888889
"one2many","all","2.5%","var","T4000",0.000563503592238224,0.0270111111111111,0,0.000552279667616119,0.00517708333333332,0,1.74921033668562e-05,0.0915083333333336,36.6033333333333
"one2many","all","2.5%","var","T8000",0.000415255068755141,0.0278215277777778,0,0.000312714928195389,0.00452499999999999,0,2.32304693622413e-05,0.093316666666667,37.3266666666667
"one2many","all","50%","mean","T1000",2.41057977877401,12.38,29.95,1.91556983095227,5.18,10,0.969623564731526,87.2625,1745.25
"one2many","all","50%","mean","T2000",2.29793837560069,13.02,30,1.8366097476453,5.4475,10,0.970500074953243,88.905,1778.1
"one2many","all","50%","mean","T4000",2.22288529982983,13.4625,30,1.77126508309327,5.6475,10,0.96906228521613,89.83,1796.6
"one2many","all","50%","mean","T8000",2.14606295312052,13.94,30,1.72193088415304,5.805,10,0.966696146890024,90.485,1809.7
"one2many","all","50%","var","T1000",0.00330042685063021,0.0796250000000001,0,0.00253006575840119,0.0177361111111111,0,5.67582430635375e-05,4.59202777777777,1836.81111111111
"one2many","all","50%","var","T2000",0.00283433927206443,0.0725694444444444,0,0.00192398005333077,0.0163888888888889,0,5.69140837627328e-05,3.61180555555556,1444.72222222222
"one2many","all","50%","var","T4000",0.00233953670581912,0.0801111111111111,0,0.0017120231538182,0.0155555555555556,0,7.54097549995742e-05,4.31902777777778,1727.61111111111
"one2many","all","50%","var","T8000",0.00197787668038806,0.0674166666666667,0,0.00141563617074558,0.0141666666666667,0,8.51327254554189e-05,2.20929166666667,883.716666666667
